Node 1 - (All other nodes are similar and are in sync. Several Blocks committed as part of view 319445 (from block 4168 to 4183) 

DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4175): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4175): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4175): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4175): Got BlockCommit for a85dee39fabe7a9f8921ec71d89e96ec57de9b19a16c590216b0be1b5e15ee6974bbd06c79e8477226dc16895b54100282f6f6421346c0b4c9b53af418f69659
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4176): Got BlockNew: 4176 / d1f9049bebf609c9ef4c97a569f3afb987997eba4e73eccd1dddc14eb620357d74bd081df329d32440e6c807a639321ee5056be854eae7e81ab0e827098ca76e
INFO  | pbft_engine::node:67 | Got BlockValid: d1f9049bebf609c9ef4c97a569f3afb987997eba4e73eccd1dddc14eb620357d74bd081df329d32440e6c807a639321ee5056be854eae7e81ab0e827098ca76e
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4176): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4176): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4176): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4176): Got BlockCommit for d1f9049bebf609c9ef4c97a569f3afb987997eba4e73eccd1dddc14eb620357d74bd081df329d32440e6c807a639321ee5056be854eae7e81ab0e827098ca76e
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4177): Got BlockNew: 4177 / b5b629e3ab81bdb9bb9fe241793bd2d15fa7c7e1357f11aaafeb0e33dc9ac92e4d92505d05723a5473b154c66194dedf3954c085b97d33c12563d372baf12112
INFO  | pbft_engine::node:67 | Got BlockValid: b5b629e3ab81bdb9bb9fe241793bd2d15fa7c7e1357f11aaafeb0e33dc9ac92e4d92505d05723a5473b154c66194dedf3954c085b97d33c12563d372baf12112
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4177): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4177): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4177): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4177): Got BlockCommit for b5b629e3ab81bdb9bb9fe241793bd2d15fa7c7e1357f11aaafeb0e33dc9ac92e4d92505d05723a5473b154c66194dedf3954c085b97d33c12563d372baf12112
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4178): Got BlockNew: 4178 / 00741da61721504a78ca42cb53a8bd5991acd286f3f6490113ab857d6f6adab052f0fd593cfdc2505c06b919fe74828c853fb07e18b8502930ef0a3523fd870d
INFO  | pbft_engine::node:67 | Got BlockValid: 00741da61721504a78ca42cb53a8bd5991acd286f3f6490113ab857d6f6adab052f0fd593cfdc2505c06b919fe74828c853fb07e18b8502930ef0a3523fd870d
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4178): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4178): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4178): Changing to Finishing false
